junction_id,survey_date,hour,total_pcu
J07,2026-05-12,08,6462.5
J07,2026-05-12,09,8957.5
J07,2026-05-12,10,9176.0
J07,2026-05-12,11,8227.5
J07,2026-05-12,12,7073.5
J07,2026-05-12,13,5421.5
J07,2026-05-12,14,4795.5
J07,2026-05-12,15,6030.0
J07,2026-05-12,16,7058.0
J07,2026-05-12,17,6768.0
J07,2026-05-12,18,7337.5
J07,2026-05-12,19,7615.5
J07,2026-05-12,20,5247.0
J07,2026-05-12,21,2981.0
J07,2026-05-12,22,1088.0
J07,2026-05-12,23,704.5
J07,2026-05-12,00,217.5
J07,2026-05-12,01,141.0
J07,2026-05-12,02,156.5
J07,2026-05-12,03,160.5
J07,2026-05-12,04,299.5
J07,2026-05-12,05,810.5
J07,2026-05-12,06,2593.0
J07,2026-05-12,07,4741.5
J08,2026-05-11,08,4779.0
J08,2026-05-11,09,6608.5
J08,2026-05-11,10,6404.0
J08,2026-05-11,11,5017.5
J08,2026-05-11,12,5928.0
J08,2026-05-11,13,5496.5
J08,2026-05-11,14,5128.0
J08,2026-05-11,15,4598.5
J08,2026-05-11,16,4424.0
J08,2026-05-11,17,4944.0
J08,2026-05-11,18,6059.0
J08,2026-05-11,19,5872.5
J08,2026-05-11,20,4355.0
J08,2026-05-11,21,3544.5
J08,2026-05-11,22,2910.0
J08,2026-05-11,23,2181.5
J08,2026-05-11,00,1728.5
J08,2026-05-11,01,1097.0
J08,2026-05-11,02,835.0
J08,2026-05-11,03,882.5
J08,2026-05-11,04,1156.0
J08,2026-05-11,05,1704.5
J08,2026-05-11,06,2296.0
J08,2026-05-11,07,3611.5
J08,2026-05-12,08,4951.0
J08,2026-05-12,09,6865.5
J08,2026-05-12,10,6631.5
J08,2026-05-12,11,5247.5
J08,2026-05-12,12,6157.5
J08,2026-05-12,13,5669.5
J08,2026-05-12,14,5302.5
J08,2026-05-12,15,4764.5
J08,2026-05-12,16,4598.5
J08,2026-05-12,17,5146.0
J08,2026-05-12,18,6311.5
J08,2026-05-12,19,6098.5
J08,2026-05-12,20,4532.0
J08,2026-05-12,21,3679.5
J08,2026-05-12,22,3013.5
J08,2026-05-12,23,2252.5
J08,2026-05-12,00,1735.5
J08,2026-05-12,01,1091.5
J08,2026-05-12,02,835.0
J08,2026-05-12,03,865.5
J08,2026-05-12,04,1153.5
J08,2026-05-12,05,1744.5
J08,2026-05-12,06,2399.5
J08,2026-05-12,07,3701.5
